 *** TESTING STRING OF LEN = 512 *** 
Time to marshall string: 0 s 2300 ns
Time to marshall string: 0 s 2200 ns
Time to marshall string: 0 s 2200 ns
Time to marshall string: 0 s 2300 ns
Time to marshall string: 0 s 2400 ns
Time to marshall string: 0 s 2200 ns
Time to marshall string: 0 s 2800 ns
Time to marshall string: 0 s 2300 ns
Time to marshall string: 0 s 2200 ns
Time to marshall string: 0 s 2200 ns
Time to marshall string: 0 s 2500 ns
Time to marshall string: 0 s 2300 ns
Time to marshall string: 0 s 2300 ns
Time to marshall string: 0 s 2500 ns
Time to marshall string: 0 s 2500 ns
Time to marshall string: 0 s 2200 ns
Time to marshall string: 0 s 2200 ns
Time to marshall string: 0 s 2500 ns
Time to marshall string: 0 s 2700 ns
Time to marshall string: 0 s 2300 ns
Time to marshall string: 0 s 2400 ns
Time to marshall string: 0 s 2500 ns
Time to marshall string: 0 s 2400 ns
Time to marshall string: 0 s 2200 ns
Time to marshall string: 0 s 2300 ns
Time to marshall string: 0 s 2500 ns
Time to marshall string: 0 s 2200 ns
