 *** TESTING STRING OF LEN = 512 *** 
Time to marshall string: 0 s 3143 ns
Time to marshall string: 0 s 3116 ns
Time to marshall string: 0 s 2976 ns
Time to marshall string: 0 s 2715 ns
Time to marshall string: 0 s 3090 ns
Time to marshall string: 0 s 2822 ns
Time to marshall string: 0 s 2923 ns
Time to marshall string: 0 s 3380 ns
Time to marshall string: 0 s 2615 ns
Time to marshall string: 0 s 3809 ns
Time to marshall string: 0 s 2967 ns
Time to marshall string: 0 s 2858 ns
Time to marshall string: 0 s 3399 ns
Time to marshall string: 0 s 3998 ns
Time to marshall string: 0 s 3722 ns
Time to marshall string: 0 s 3644 ns
Time to marshall string: 0 s 3488 ns
Time to marshall string: 0 s 3985 ns
Time to marshall string: 0 s 3536 ns
Time to marshall string: 0 s 3566 ns
Time to marshall string: 0 s 3055 ns
Time to marshall string: 0 s 3537 ns
Time to marshall string: 0 s 3290 ns
Time to marshall string: 0 s 3618 ns
Time to marshall string: 0 s 4326 ns
Time to marshall string: 0 s 3998 ns
Time to marshall string: 0 s 3762 ns
Time to marshall string: 0 s 3772 ns
Time to marshall string: 0 s 4018 ns
Time to marshall string: 0 s 3758 ns
Time to marshall string: 0 s 3925 ns
Time to marshall string: 0 s 3493 ns
Time to marshall string: 0 s 3798 ns
Time to marshall string: 0 s 3667 ns
Time to marshall string: 0 s 3945 ns
Time to marshall string: 0 s 3955 ns
Time to marshall string: 0 s 3775 ns
Time to marshall string: 0 s 4269 ns
Time to marshall string: 0 s 3862 ns
Time to marshall string: 0 s 4006 ns
Time to marshall string: 0 s 3036 ns
Time to marshall string: 0 s 3684 ns
Time to marshall string: 0 s 4343 ns
Time to marshall string: 0 s 3696 ns
Time to marshall string: 0 s 3472 ns
Time to marshall string: 0 s 3682 ns
Time to marshall string: 0 s 3648 ns
Time to marshall string: 0 s 3848 ns
Time to marshall string: 0 s 4105 ns
Time to marshall string: 0 s 3965 ns
Time to marshall string: 0 s 3592 ns
Time to marshall string: 0 s 3662 ns
Time to marshall string: 0 s 4049 ns
Time to marshall string: 0 s 3739 ns
Time to marshall string: 0 s 4876 ns
